ADM0_NAME,flow_name,metric,value
Abyei,Banana_irr_2030y_SOC,cf_mean,18.301117
Afghanistan,Banana_irr_2030y_SOC,cf_mean,
Aksai Chin,Banana_irr_2030y_SOC,cf_mean,
Albania,Banana_irr_2030y_SOC,cf_mean,
Algeria,Banana_irr_2030y_SOC,cf_mean,14.412365
American Samoa,Banana_irr_2030y_SOC,cf_mean,
Andorra,Banana_irr_2030y_SOC,cf_mean,
Angola,Banana_irr_2030y_SOC,cf_mean,22.163263
Anguilla,Banana_irr_2030y_SOC,cf_mean,
Antarctica,Banana_irr_2030y_SOC,cf_mean,
Antigua and Barbuda,Banana_irr_2030y_SOC,cf_mean,62.767
Argentina,Banana_irr_2030y_SOC,cf_mean,32.429806
Armenia,Banana_irr_2030y_SOC,cf_mean,
Aruba,Banana_irr_2030y_SOC,cf_mean,
Arunachal Pradesh,Banana_irr_2030y_SOC,cf_mean,47.427174
Ashmore and Cartier Islands,Banana_irr_2030y_SOC,cf_mean,
Australia,Banana_irr_2030y_SOC,cf_mean,24.457207
Austria,Banana_irr_2030y_SOC,cf_mean,
Azerbaijan,Banana_irr_2030y_SOC,cf_mean,
Azores Islands,Banana_irr_2030y_SOC,cf_mean,
Bahamas,Banana_irr_2030y_SOC,cf_mean,94.353096
Bahrain,Banana_irr_2030y_SOC,cf_mean,
Baker Island,Banana_irr_2030y_SOC,cf_mean,
Bangladesh,Banana_irr_2030y_SOC,cf_mean,26.831932
Barbados,Banana_irr_2030y_SOC,cf_mean,65.16601
Bassas da India,Banana_irr_2030y_SOC,cf_mean,
Belarus,Banana_irr_2030y_SOC,cf_mean,
Belgium,Banana_irr_2030y_SOC,cf_mean,
Belize,Banana_irr_2030y_SOC,cf_mean,42.116646
Benin,Banana_irr_2030y_SOC,cf_mean,15.083282
Bermuda,Banana_irr_2030y_SOC,cf_mean,
Bhutan,Banana_irr_2030y_SOC,cf_mean,51.327995
Bird Island,Banana_irr_2030y_SOC,cf_mean,
Bolivia,Banana_irr_2030y_SOC,cf_mean,25.22934
Bosnia and Herzegovina,Banana_irr_2030y_SOC,cf_mean,
Botswana,Banana_irr_2030y_SOC,cf_mean,22.259827
Bouvet Island,Banana_irr_2030y_SOC,cf_mean,
Brazil,Banana_irr_2030y_SOC,cf_mean,27.317394
British Indian Ocean Territory,Banana_irr_2030y_SOC,cf_mean,
British Virgin Islands,Banana_irr_2030y_SOC,cf_mean,
Brunei Darussalam,Banana_irr_2030y_SOC,cf_mean,35.771667
Bulgaria,Banana_irr_2030y_SOC,cf_mean,
Burkina Faso,Banana_irr_2030y_SOC,cf_mean,17.41465
Burundi,Banana_irr_2030y_SOC,cf_mean,37.57782
Cambodia,Banana_irr_2030y_SOC,cf_mean,27.585276
Cameroon,Banana_irr_2030y_SOC,cf_mean,28.682543
Canada,Banana_irr_2030y_SOC,cf_mean,
Cape Verde,Banana_irr_2030y_SOC,cf_mean,
Cayman Islands,Banana_irr_2030y_SOC,cf_mean,
Central African Republic,Banana_irr_2030y_SOC,cf_mean,21.68498
Chad,Banana_irr_2030y_SOC,cf_mean,13.506027
Chile,Banana_irr_2030y_SOC,cf_mean,
China,Banana_irr_2030y_SOC,cf_mean,43.421543
China/India,Banana_irr_2030y_SOC,cf_mean,
Christmas Island,Banana_irr_2030y_SOC,cf_mean,
Clipperton Island,Banana_irr_2030y_SOC,cf_mean,
Cocos (Keeling) Islands,Banana_irr_2030y_SOC,cf_mean,
Colombia,Banana_irr_2030y_SOC,cf_mean,37.990437
Comoros,Banana_irr_2030y_SOC,cf_mean,76.77497
Congo,Banana_irr_2030y_SOC,cf_mean,28.24762
Cook Islands,Banana_irr_2030y_SOC,cf_mean,
Costa Rica,Banana_irr_2030y_SOC,cf_mean,57.596443
Croatia,Banana_irr_2030y_SOC,cf_mean,
Cuba,Banana_irr_2030y_SOC,cf_mean,47.310226
Cyprus,Banana_irr_2030y_SOC,cf_mean,59.01365
Czech Republic,Banana_irr_2030y_SOC,cf_mean,
Côte d'Ivoire,Banana_irr_2030y_SOC,cf_mean,22.557457
Dem People's Rep of Korea,Banana_irr_2030y_SOC,cf_mean,
Democratic Republic of the Congo,Banana_irr_2030y_SOC,cf_mean,25.062511
Denmark,Banana_irr_2030y_SOC,cf_mean,
Djibouti,Banana_irr_2030y_SOC,cf_mean,17.143173
Dominica,Banana_irr_2030y_SOC,cf_mean,91.882935
