ADM0_NAME,flow_name,variable,value
Abyei,Banana_irr_2030y_SOC,leaf,18.301117
Afghanistan,Banana_irr_2030y_SOC,leaf,
Aksai Chin,Banana_irr_2030y_SOC,leaf,
Albania,Banana_irr_2030y_SOC,leaf,
Algeria,Banana_irr_2030y_SOC,leaf,14.412365
American Samoa,Banana_irr_2030y_SOC,leaf,
Andorra,Banana_irr_2030y_SOC,leaf,
Angola,Banana_irr_2030y_SOC,leaf,22.163263
Anguilla,Banana_irr_2030y_SOC,leaf,
Antarctica,Banana_irr_2030y_SOC,leaf,
Antigua and Barbuda,Banana_irr_2030y_SOC,leaf,62.767
Argentina,Banana_irr_2030y_SOC,leaf,32.429806
Armenia,Banana_irr_2030y_SOC,leaf,
Aruba,Banana_irr_2030y_SOC,leaf,
Arunachal Pradesh,Banana_irr_2030y_SOC,leaf,47.427174
Ashmore and Cartier Islands,Banana_irr_2030y_SOC,leaf,
Australia,Banana_irr_2030y_SOC,leaf,24.457207
Austria,Banana_irr_2030y_SOC,leaf,
Azerbaijan,Banana_irr_2030y_SOC,leaf,
Azores Islands,Banana_irr_2030y_SOC,leaf,
Bahamas,Banana_irr_2030y_SOC,leaf,94.353096
Bahrain,Banana_irr_2030y_SOC,leaf,
Baker Island,Banana_irr_2030y_SOC,leaf,
Bangladesh,Banana_irr_2030y_SOC,leaf,26.831932
Barbados,Banana_irr_2030y_SOC,leaf,65.16601
Bassas da India,Banana_irr_2030y_SOC,leaf,
Belarus,Banana_irr_2030y_SOC,leaf,
Belgium,Banana_irr_2030y_SOC,leaf,
Belize,Banana_irr_2030y_SOC,leaf,42.116646
Benin,Banana_irr_2030y_SOC,leaf,15.083282
Bermuda,Banana_irr_2030y_SOC,leaf,
Bhutan,Banana_irr_2030y_SOC,leaf,51.327995
Bird Island,Banana_irr_2030y_SOC,leaf,
Bolivia,Banana_irr_2030y_SOC,leaf,25.22934
Bosnia and Herzegovina,Banana_irr_2030y_SOC,leaf,
Botswana,Banana_irr_2030y_SOC,leaf,22.259827
Bouvet Island,Banana_irr_2030y_SOC,leaf,
Brazil,Banana_irr_2030y_SOC,leaf,27.317394
British Indian Ocean Territory,Banana_irr_2030y_SOC,leaf,
British Virgin Islands,Banana_irr_2030y_SOC,leaf,
Brunei Darussalam,Banana_irr_2030y_SOC,leaf,35.771667
Bulgaria,Banana_irr_2030y_SOC,leaf,
Burkina Faso,Banana_irr_2030y_SOC,leaf,17.41465
Burundi,Banana_irr_2030y_SOC,leaf,37.57782
Cambodia,Banana_irr_2030y_SOC,leaf,27.585276
Cameroon,Banana_irr_2030y_SOC,leaf,28.682543
Canada,Banana_irr_2030y_SOC,leaf,
Cape Verde,Banana_irr_2030y_SOC,leaf,
Cayman Islands,Banana_irr_2030y_SOC,leaf,
Central African Republic,Banana_irr_2030y_SOC,leaf,21.68498
Chad,Banana_irr_2030y_SOC,leaf,13.506027
Chile,Banana_irr_2030y_SOC,leaf,
China,Banana_irr_2030y_SOC,leaf,43.421543
China/India,Banana_irr_2030y_SOC,leaf,
Christmas Island,Banana_irr_2030y_SOC,leaf,
Clipperton Island,Banana_irr_2030y_SOC,leaf,
Cocos (Keeling) Islands,Banana_irr_2030y_SOC,leaf,
Colombia,Banana_irr_2030y_SOC,leaf,37.990437
Comoros,Banana_irr_2030y_SOC,leaf,76.77497
Congo,Banana_irr_2030y_SOC,leaf,28.24762
Cook Islands,Banana_irr_2030y_SOC,leaf,
Costa Rica,Banana_irr_2030y_SOC,leaf,57.596443
Croatia,Banana_irr_2030y_SOC,leaf,
Cuba,Banana_irr_2030y_SOC,leaf,47.310226
Cyprus,Banana_irr_2030y_SOC,leaf,59.01365
Czech Republic,Banana_irr_2030y_SOC,leaf,
Côte d'Ivoire,Banana_irr_2030y_SOC,leaf,22.557457
Dem People's Rep of Korea,Banana_irr_2030y_SOC,leaf,
Democratic Republic of the Congo,Banana_irr_2030y_SOC,leaf,25.062511
Denmark,Banana_irr_2030y_SOC,leaf,
Djibouti,Banana_irr_2030y_SOC,leaf,17.143173
Dominica,Banana_irr_2030y_SOC,leaf,91.882935
Dominican Republic,Banana_irr_2030y_SOC,leaf,53.183994
Ecuador,Banana_irr_2030y_SOC,leaf,46.430405
Egypt,Banana_irr_2030y_SOC,leaf,20.650143
El Salvador,Banana_irr_2030y_SOC,leaf,39.071445
Equatorial Guinea,Banana_irr_2030y_SOC,leaf,40.231903
Eritrea,Banana_irr_2030y_SOC,leaf,17.43785
Estonia,Banana_irr_2030y_SOC,leaf,
Ethiopia,Banana_irr_2030y_SOC,leaf,30.858711
Europa Island,Banana_irr_2030y_SOC,leaf,
Falkland Islands (Malvinas),Banana_irr_2030y_SOC,leaf,
Faroe Islands,Banana_irr_2030y_SOC,leaf,
Fiji,Banana_irr_2030y_SOC,leaf,80.9748
Finland,Banana_irr_2030y_SOC,leaf,
France,Banana_irr_2030y_SOC,leaf,65.90835
French Guiana,Banana_irr_2030y_SOC,leaf,29.218515
French Polynesia,Banana_irr_2030y_SOC,leaf,76.85733
French Southern and Antarctic Territories,Banana_irr_2030y_SOC,leaf,
Gabon,Banana_irr_2030y_SOC,leaf,30.85916
Gambia,Banana_irr_2030y_SOC,leaf,17.315233
Gaza Strip,Banana_irr_2030y_SOC,leaf,21.463835
Georgia,Banana_irr_2030y_SOC,leaf,
Germany,Banana_irr_2030y_SOC,leaf,
Ghana,Banana_irr_2030y_SOC,leaf,20.77476
Gibraltar,Banana_irr_2030y_SOC,leaf,45.402447
Glorioso Island,Banana_irr_2030y_SOC,leaf,
Greece,Banana_irr_2030y_SOC,leaf,75.39942
Greenland,Banana_irr_2030y_SOC,leaf,
Grenada,Banana_irr_2030y_SOC,leaf,75.27757
Guadeloupe,Banana_irr_2030y_SOC,leaf,
Guam,Banana_irr_2030y_SOC,leaf,
Guatemala,Banana_irr_2030y_SOC,leaf,50.46193
Guernsey,Banana_irr_2030y_SOC,leaf,
Guinea,Banana_irr_2030y_SOC,leaf,26.741896
Guinea-Bissau,Banana_irr_2030y_SOC,leaf,22.278046
Guyana,Banana_irr_2030y_SOC,leaf,35.060608
Haiti,Banana_irr_2030y_SOC,leaf,45.191494
Hala'ib triangle,Banana_irr_2030y_SOC,leaf,15.559376
Heard Island and McDonald Islands,Banana_irr_2030y_SOC,leaf,
Holy See,Banana_irr_2030y_SOC,leaf,
Honduras,Banana_irr_2030y_SOC,leaf,45.59605
