ADM0_NAME,flow_name,metric,value
Abyei,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Afghanistan,Barley_rf_ron_rt_2030y_SOC,cf_mean,26.66161
Aksai Chin,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Albania,Barley_rf_ron_rt_2030y_SOC,cf_mean,47.09467
Algeria,Barley_rf_ron_rt_2030y_SOC,cf_mean,23.590103
American Samoa,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Andorra,Barley_rf_ron_rt_2030y_SOC,cf_mean,47.7017
Angola,Barley_rf_ron_rt_2030y_SOC,cf_mean,34.324844
Anguilla,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Antarctica,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Antigua and Barbuda,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Argentina,Barley_rf_ron_rt_2030y_SOC,cf_mean,33.268036
Armenia,Barley_rf_ron_rt_2030y_SOC,cf_mean,46.07228
Aruba,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Arunachal Pradesh,Barley_rf_ron_rt_2030y_SOC,cf_mean,48.13163
Ashmore and Cartier Islands,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Australia,Barley_rf_ron_rt_2030y_SOC,cf_mean,33.55846
Austria,Barley_rf_ron_rt_2030y_SOC,cf_mean,62.009598
Azerbaijan,Barley_rf_ron_rt_2030y_SOC,cf_mean,43.16532
Azores Islands,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bahamas,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bahrain,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Baker Island,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bangladesh,Barley_rf_ron_rt_2030y_SOC,cf_mean,21.331804
Barbados,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bassas da India,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Belarus,Barley_rf_ron_rt_2030y_SOC,cf_mean,46.246838
Belgium,Barley_rf_ron_rt_2030y_SOC,cf_mean,57.750652
Belize,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Benin,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bermuda,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bhutan,Barley_rf_ron_rt_2030y_SOC,cf_mean,49.03471
Bird Island,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bolivia,Barley_rf_ron_rt_2030y_SOC,cf_mean,54.991135
Bosnia and Herzegovina,Barley_rf_ron_rt_2030y_SOC,cf_mean,56.275375
Botswana,Barley_rf_ron_rt_2030y_SOC,cf_mean,30.663263
Bouvet Island,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Brazil,Barley_rf_ron_rt_2030y_SOC,cf_mean,35.22615
British Indian Ocean Territory,Barley_rf_ron_rt_2030y_SOC,cf_mean,
British Virgin Islands,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Brunei Darussalam,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Bulgaria,Barley_rf_ron_rt_2030y_SOC,cf_mean,41.621162
Burkina Faso,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Burundi,Barley_rf_ron_rt_2030y_SOC,cf_mean,34.920383
Cambodia,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Cameroon,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Canada,Barley_rf_ron_rt_2030y_SOC,cf_mean,61.010895
Cape Verde,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Cayman Islands,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Central African Republic,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Chad,Barley_rf_ron_rt_2030y_SOC,cf_mean,
Chile,Barley_rf_ron_rt_2030y_SOC,cf_mean,81.63246
China,Barley_rf_ron_rt_2030y_SOC,cf_mean,40.36496
China/India,Barley_rf_ron_rt_2030y_SOC,cf_mean,
