ADM0_NAME,ADM1_NAME,ADM1_CODE,flow_name,metric,value
Burundi,Bubanza,40542,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Bujumbura Mairie,40543,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Bujumbura Rural,40544,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Bururi,40545,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Cankuzo,40546,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Cibitoke,40547,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Gitega,40548,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Karuzi,40549,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Kayanza,40550,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Kirundo,40551,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Makamba,40552,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Muramvya,40553,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Muyinga,40554,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Mwaro,40555,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Ngozi,40556,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Rutana,40557,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,Ruyigi,40558,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bassas da India,Administrative unit not available,592,BRDC_Boreal dry_2030y_SOC,cf_mean,
British Indian Ocean Territory,Administrative unit not available,696,BRDC_Boreal dry_2030y_SOC,cf_mean,
Comoros,Anjouan,967,BRDC_Boreal dry_2030y_SOC,cf_mean,
Comoros,Moheli,968,BRDC_Boreal dry_2030y_SOC,cf_mean,
Comoros,Ngazidja,969,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,Ali Sabieh,1093,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,Dikhil,1094,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,Djibouti,1095,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,Obock,1096,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,Tadjourah,1097,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Anseba,1205,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Archipelagos,1206,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Debub,1207,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Debubawi Keih Bahri,1208,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Gash Barka,1209,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Maekel,1210,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,Semenawi Keih Bahri,1211,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Addis Ababa,1227,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Afar,1228,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Amhara,1229,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Beneshangul Gumu,1230,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Dire Dawa,1231,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Gambela,1232,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Hareri,1233,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Oromia,47678,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,SNNPR,1236,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Somali,47679,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,Tigray,1237,BRDC_Boreal dry_2030y_SOC,cf_mean,
Europa Island,Administrative unit not available,1238,BRDC_Boreal dry_2030y_SOC,cf_mean,
Glorioso Island,Administrative unit not available,1335,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ilemi triangle,Administrative unit not available,61033,BRDC_Boreal dry_2030y_SOC,cf_mean,
Juan de Nova Island,Administrative unit not available,1713,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Central,51325,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Coast,51326,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Eastern,51327,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Nairobi,51328,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,North Eastern,51329,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Nyanza,51330,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Rift Valley,51331,BRDC_Boreal dry_2030y_SOC,cf_mean,
Kenya,Western,51332,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Alaotra Mangoro,41750,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Amoron I Mania,41751,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Analamanga,41752,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Analanjirofo,41753,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Androy,41754,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Anosy,41755,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Atsimo Andrefana,41756,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Atsimo Atsinanana,41757,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Atsinanana,41758,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Betsiboka,41759,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Boeny,41760,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Bongolava,41761,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Diana,41762,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Haute Matsiatra,41763,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Ihorombe,41764,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Itasy,41765,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Melaky,41766,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Menabe,41767,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Sava,41768,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Sofia,41769,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Vakinankaratra,41770,BRDC_Boreal dry_2030y_SOC,cf_mean,
Madagascar,Vatovavy Fitovinany,41771,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Cabo Delgado,2112,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Gaza,2113,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Inhambane,2114,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Manica,2115,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Nampula,2118,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Niassa,2119,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Sofala,2120,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Tete,2121,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Zambezia,2122,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Maputo,41373,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mozambique,Lago niassa,65246,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Administrative unit not available,2017,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Black River,2018,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Flacq,2019,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Grand Port,2020,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Moka,2021,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Pamplemousses,2022,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Plaines Wilhems,2023,BRDC_Boreal dry_2030y_SOC,cf_mean,
Mauritius,Port Louis,2024,BRDC_Boreal dry_2030y_SOC,cf_mean,
