ADM0_NAME,flow_name,metric,value
Abyei,BRDC_Boreal dry_2030y_SOC,cf_mean,
Afghanistan,BRDC_Boreal dry_2030y_SOC,cf_mean,
Aksai Chin,BRDC_Boreal dry_2030y_SOC,cf_mean,
Albania,BRDC_Boreal dry_2030y_SOC,cf_mean,
Algeria,BRDC_Boreal dry_2030y_SOC,cf_mean,
American Samoa,BRDC_Boreal dry_2030y_SOC,cf_mean,
Andorra,BRDC_Boreal dry_2030y_SOC,cf_mean,
Angola,BRDC_Boreal dry_2030y_SOC,cf_mean,
Anguilla,BRDC_Boreal dry_2030y_SOC,cf_mean,
Antarctica,BRDC_Boreal dry_2030y_SOC,cf_mean,
Antigua and Barbuda,BRDC_Boreal dry_2030y_SOC,cf_mean,
Argentina,BRDC_Boreal dry_2030y_SOC,cf_mean,407.65845
Armenia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Aruba,BRDC_Boreal dry_2030y_SOC,cf_mean,
Arunachal Pradesh,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ashmore and Cartier Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Australia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Austria,BRDC_Boreal dry_2030y_SOC,cf_mean,
Azerbaijan,BRDC_Boreal dry_2030y_SOC,cf_mean,
Azores Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bahamas,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bahrain,BRDC_Boreal dry_2030y_SOC,cf_mean,
Baker Island,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bangladesh,BRDC_Boreal dry_2030y_SOC,cf_mean,
Barbados,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bassas da India,BRDC_Boreal dry_2030y_SOC,cf_mean,
Belarus,BRDC_Boreal dry_2030y_SOC,cf_mean,
Belgium,BRDC_Boreal dry_2030y_SOC,cf_mean,
Belize,BRDC_Boreal dry_2030y_SOC,cf_mean,
Benin,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bermuda,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bhutan,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bird Island,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bolivia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bosnia and Herzegovina,BRDC_Boreal dry_2030y_SOC,cf_mean,
Botswana,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bouvet Island,BRDC_Boreal dry_2030y_SOC,cf_mean,
Brazil,BRDC_Boreal dry_2030y_SOC,cf_mean,
British Indian Ocean Territory,BRDC_Boreal dry_2030y_SOC,cf_mean,
British Virgin Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Brunei Darussalam,BRDC_Boreal dry_2030y_SOC,cf_mean,
Bulgaria,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burkina Faso,BRDC_Boreal dry_2030y_SOC,cf_mean,
Burundi,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cambodia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cameroon,BRDC_Boreal dry_2030y_SOC,cf_mean,
Canada,BRDC_Boreal dry_2030y_SOC,cf_mean,342.8292
Cape Verde,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cayman Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Central African Republic,BRDC_Boreal dry_2030y_SOC,cf_mean,
Chad,BRDC_Boreal dry_2030y_SOC,cf_mean,
Chile,BRDC_Boreal dry_2030y_SOC,cf_mean,402.6134
China,BRDC_Boreal dry_2030y_SOC,cf_mean,
China/India,BRDC_Boreal dry_2030y_SOC,cf_mean,
Christmas Island,BRDC_Boreal dry_2030y_SOC,cf_mean,
Clipperton Island,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cocos (Keeling) Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Colombia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Comoros,BRDC_Boreal dry_2030y_SOC,cf_mean,
Congo,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cook Islands,BRDC_Boreal dry_2030y_SOC,cf_mean,
Costa Rica,BRDC_Boreal dry_2030y_SOC,cf_mean,
Croatia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cuba,BRDC_Boreal dry_2030y_SOC,cf_mean,
Cyprus,BRDC_Boreal dry_2030y_SOC,cf_mean,
Czech Republic,BRDC_Boreal dry_2030y_SOC,cf_mean,
Côte d'Ivoire,BRDC_Boreal dry_2030y_SOC,cf_mean,
Dem People's Rep of Korea,BRDC_Boreal dry_2030y_SOC,cf_mean,
Democratic Republic of the Congo,BRDC_Boreal dry_2030y_SOC,cf_mean,
Denmark,BRDC_Boreal dry_2030y_SOC,cf_mean,
Djibouti,BRDC_Boreal dry_2030y_SOC,cf_mean,
Dominica,BRDC_Boreal dry_2030y_SOC,cf_mean,
Dominican Republic,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ecuador,BRDC_Boreal dry_2030y_SOC,cf_mean,
Egypt,BRDC_Boreal dry_2030y_SOC,cf_mean,
El Salvador,BRDC_Boreal dry_2030y_SOC,cf_mean,
Equatorial Guinea,BRDC_Boreal dry_2030y_SOC,cf_mean,
Eritrea,BRDC_Boreal dry_2030y_SOC,cf_mean,
Estonia,BRDC_Boreal dry_2030y_SOC,cf_mean,
Ethiopia,BRDC_Boreal dry_2030y_SOC,cf_mean,
