ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,Apple_irr_2030y_SOC
Afghanistan,Afghanistan,30.234906382098767,cf_mean,Apple_irr_2030y_SOC
Aksai Chin,,,cf_mean,Apple_irr_2030y_SOC
Albania,Albania,48.808688825232856,cf_mean,Apple_irr_2030y_SOC
Algeria,Algeria,26.144122603380758,cf_mean,Apple_irr_2030y_SOC
American Samoa,,,cf_mean,Apple_irr_2030y_SOC
Andorra,Andorra,61.8563339887396,cf_mean,Apple_irr_2030y_SOC
Angola,,,cf_mean,Apple_irr_2030y_SOC
Anguilla,,,cf_mean,Apple_irr_2030y_SOC
Antarctica,,,cf_mean,Apple_irr_2030y_SOC
Antigua and Barbuda,,,cf_mean,Apple_irr_2030y_SOC
Argentina,Argentina,32.10034407730674,cf_mean,Apple_irr_2030y_SOC
Armenia,,,cf_mean,Apple_irr_2030y_SOC
Aruba,,,cf_mean,Apple_irr_2030y_SOC
Arunachal Pradesh,Arunachal Pradesh,68.29062357884794,cf_mean,Apple_irr_2030y_SOC
Ashmore and Cartier Islands,,,cf_mean,Apple_irr_2030y_SOC
Australia,Australia,24.39022355006923,cf_mean,Apple_irr_2030y_SOC
Austria,,,cf_mean,Apple_irr_2030y_SOC
Azerbaijan,,,cf_mean,Apple_irr_2030y_SOC
Azores Islands,,,cf_mean,Apple_irr_2030y_SOC
Bahamas,,,cf_mean,Apple_irr_2030y_SOC
Bahrain,,,cf_mean,Apple_irr_2030y_SOC
Baker Island,,,cf_mean,Apple_irr_2030y_SOC
Bangladesh,Bangladesh,26.366097493273372,cf_mean,Apple_irr_2030y_SOC
Barbados,,,cf_mean,Apple_irr_2030y_SOC
Bassas da India,,,cf_mean,Apple_irr_2030y_SOC
Belarus,,,cf_mean,Apple_irr_2030y_SOC
Belgium,Belgium,48.98781509863135,cf_mean,Apple_irr_2030y_SOC
Belize,Belize,41.028716768036354,cf_mean,Apple_irr_2030y_SOC
Benin,,,cf_mean,Apple_irr_2030y_SOC
Bermuda,,,cf_mean,Apple_irr_2030y_SOC
Bhutan,Bhutan,53.433637489106786,cf_mean,Apple_irr_2030y_SOC
Bird Island,,,cf_mean,Apple_irr_2030y_SOC
Bolivia,Bolivia,25.270658232183045,cf_mean,Apple_irr_2030y_SOC
Bosnia and Herzegovina,Bosnia and Herzegovina,66.92905522001477,cf_mean,Apple_irr_2030y_SOC
Botswana,Botswana,17.55752970811086,cf_mean,Apple_irr_2030y_SOC
Bouvet Island,,,cf_mean,Apple_irr_2030y_SOC
Brazil,Brazil,28.40929162415903,cf_mean,Apple_irr_2030y_SOC
British Indian Ocean Territory,,,cf_mean,Apple_irr_2030y_SOC
British Virgin Islands,,,cf_mean,Apple_irr_2030y_SOC
Brunei Darussalam,,,cf_mean,Apple_irr_2030y_SOC
Bulgaria,,,cf_mean,Apple_irr_2030y_SOC
Burkina Faso,,,cf_mean,Apple_irr_2030y_SOC
Burundi,,,cf_mean,Apple_irr_2030y_SOC
Cambodia,,,cf_mean,Apple_irr_2030y_SOC
Cameroon,,,cf_mean,Apple_irr_2030y_SOC
Canada,,,cf_mean,Apple_irr_2030y_SOC
Cape Verde,,,cf_mean,Apple_irr_2030y_SOC
Cayman Islands,,,cf_mean,Apple_irr_2030y_SOC
Central African Republic,,,cf_mean,Apple_irr_2030y_SOC
Chad,,,cf_mean,Apple_irr_2030y_SOC
Chile,Chile,73.47301646837224,cf_mean,Apple_irr_2030y_SOC
China,China,49.43333197650729,cf_mean,Apple_irr_2030y_SOC
China/India,China/India,65.5932441471642,cf_mean,Apple_irr_2030y_SOC
Christmas Island,,,cf_mean,Apple_irr_2030y_SOC
Clipperton Island,,,cf_mean,Apple_irr_2030y_SOC
Cocos (Keeling) Islands,,,cf_mean,Apple_irr_2030y_SOC
Colombia,Colombia,40.798561520072255,cf_mean,Apple_irr_2030y_SOC
Comoros,,,cf_mean,Apple_irr_2030y_SOC
Congo,,,cf_mean,Apple_irr_2030y_SOC
Cook Islands,,,cf_mean,Apple_irr_2030y_SOC
Costa Rica,,,cf_mean,Apple_irr_2030y_SOC
Croatia,Croatia,60.661404375775255,cf_mean,Apple_irr_2030y_SOC
Cuba,,,cf_mean,Apple_irr_2030y_SOC
Cyprus,Cyprus,48.12962500282976,cf_mean,Apple_irr_2030y_SOC
Czech Republic,,,cf_mean,Apple_irr_2030y_SOC
Côte d'Ivoire,,,cf_mean,Apple_irr_2030y_SOC
Dem People's Rep of Korea,,,cf_mean,Apple_irr_2030y_SOC
Democratic Republic of the Congo,,,cf_mean,Apple_irr_2030y_SOC
Denmark,,,cf_mean,Apple_irr_2030y_SOC
Djibouti,,,cf_mean,Apple_irr_2030y_SOC
Dominica,,,cf_mean,Apple_irr_2030y_SOC
Dominican Republic,,,cf_mean,Apple_irr_2030y_SOC
Ecuador,Ecuador,46.68805478921824,cf_mean,Apple_irr_2030y_SOC
Egypt,Egypt,19.017090273199674,cf_mean,Apple_irr_2030y_SOC
El Salvador,El Salvador,39.09573068162896,cf_mean,Apple_irr_2030y_SOC
Equatorial Guinea,,,cf_mean,Apple_irr_2030y_SOC
Eritrea,,,cf_mean,Apple_irr_2030y_SOC
Estonia,,,cf_mean,Apple_irr_2030y_SOC
