ADM0_NAME,flow_name,metric,value
Abyei,Apple_irr_2030y_SOC,cf_mean,
Afghanistan,Apple_irr_2030y_SOC,cf_mean,30.234907
Aksai Chin,Apple_irr_2030y_SOC,cf_mean,
Albania,Apple_irr_2030y_SOC,cf_mean,48.80869
Algeria,Apple_irr_2030y_SOC,cf_mean,26.144123
American Samoa,Apple_irr_2030y_SOC,cf_mean,
Andorra,Apple_irr_2030y_SOC,cf_mean,61.856335
Angola,Apple_irr_2030y_SOC,cf_mean,
Anguilla,Apple_irr_2030y_SOC,cf_mean,
Antarctica,Apple_irr_2030y_SOC,cf_mean,
Antigua and Barbuda,Apple_irr_2030y_SOC,cf_mean,
Argentina,Apple_irr_2030y_SOC,cf_mean,32.100346
Armenia,Apple_irr_2030y_SOC,cf_mean,
Aruba,Apple_irr_2030y_SOC,cf_mean,
Arunachal Pradesh,Apple_irr_2030y_SOC,cf_mean,68.29063
Ashmore and Cartier Islands,Apple_irr_2030y_SOC,cf_mean,
Australia,Apple_irr_2030y_SOC,cf_mean,24.390224
Austria,Apple_irr_2030y_SOC,cf_mean,
Azerbaijan,Apple_irr_2030y_SOC,cf_mean,
Azores Islands,Apple_irr_2030y_SOC,cf_mean,
Bahamas,Apple_irr_2030y_SOC,cf_mean,
Bahrain,Apple_irr_2030y_SOC,cf_mean,
Baker Island,Apple_irr_2030y_SOC,cf_mean,
Bangladesh,Apple_irr_2030y_SOC,cf_mean,26.366098
Barbados,Apple_irr_2030y_SOC,cf_mean,
Bassas da India,Apple_irr_2030y_SOC,cf_mean,
Belarus,Apple_irr_2030y_SOC,cf_mean,
Belgium,Apple_irr_2030y_SOC,cf_mean,48.987816
Belize,Apple_irr_2030y_SOC,cf_mean,41.028717
Benin,Apple_irr_2030y_SOC,cf_mean,
Bermuda,Apple_irr_2030y_SOC,cf_mean,
Bhutan,Apple_irr_2030y_SOC,cf_mean,53.433636
Bird Island,Apple_irr_2030y_SOC,cf_mean,
Bolivia,Apple_irr_2030y_SOC,cf_mean,25.270658
Bosnia and Herzegovina,Apple_irr_2030y_SOC,cf_mean,66.929054
Botswana,Apple_irr_2030y_SOC,cf_mean,17.55753
Bouvet Island,Apple_irr_2030y_SOC,cf_mean,
Brazil,Apple_irr_2030y_SOC,cf_mean,28.409292
British Indian Ocean Territory,Apple_irr_2030y_SOC,cf_mean,
British Virgin Islands,Apple_irr_2030y_SOC,cf_mean,
Brunei Darussalam,Apple_irr_2030y_SOC,cf_mean,
Bulgaria,Apple_irr_2030y_SOC,cf_mean,
Burkina Faso,Apple_irr_2030y_SOC,cf_mean,
Burundi,Apple_irr_2030y_SOC,cf_mean,
Cambodia,Apple_irr_2030y_SOC,cf_mean,
Cameroon,Apple_irr_2030y_SOC,cf_mean,
Canada,Apple_irr_2030y_SOC,cf_mean,
Cape Verde,Apple_irr_2030y_SOC,cf_mean,
Cayman Islands,Apple_irr_2030y_SOC,cf_mean,
Central African Republic,Apple_irr_2030y_SOC,cf_mean,
Chad,Apple_irr_2030y_SOC,cf_mean,
Chile,Apple_irr_2030y_SOC,cf_mean,73.473015
China,Apple_irr_2030y_SOC,cf_mean,49.43333
China/India,Apple_irr_2030y_SOC,cf_mean,65.59325
Christmas Island,Apple_irr_2030y_SOC,cf_mean,
Clipperton Island,Apple_irr_2030y_SOC,cf_mean,
Cocos (Keeling) Islands,Apple_irr_2030y_SOC,cf_mean,
Colombia,Apple_irr_2030y_SOC,cf_mean,40.79856
Comoros,Apple_irr_2030y_SOC,cf_mean,
Congo,Apple_irr_2030y_SOC,cf_mean,
Cook Islands,Apple_irr_2030y_SOC,cf_mean,
Costa Rica,Apple_irr_2030y_SOC,cf_mean,
Croatia,Apple_irr_2030y_SOC,cf_mean,60.661404
Cuba,Apple_irr_2030y_SOC,cf_mean,
Cyprus,Apple_irr_2030y_SOC,cf_mean,48.129623
Czech Republic,Apple_irr_2030y_SOC,cf_mean,
Côte d'Ivoire,Apple_irr_2030y_SOC,cf_mean,
Dem People's Rep of Korea,Apple_irr_2030y_SOC,cf_mean,
Democratic Republic of the Congo,Apple_irr_2030y_SOC,cf_mean,
Denmark,Apple_irr_2030y_SOC,cf_mean,
Djibouti,Apple_irr_2030y_SOC,cf_mean,
Dominica,Apple_irr_2030y_SOC,cf_mean,
Dominican Republic,Apple_irr_2030y_SOC,cf_mean,
Ecuador,Apple_irr_2030y_SOC,cf_mean,46.688053
Egypt,Apple_irr_2030y_SOC,cf_mean,19.01709
El Salvador,Apple_irr_2030y_SOC,cf_mean,39.09573
Equatorial Guinea,Apple_irr_2030y_SOC,cf_mean,
Eritrea,Apple_irr_2030y_SOC,cf_mean,
Estonia,Apple_irr_2030y_SOC,cf_mean,
Ethiopia,Apple_irr_2030y_SOC,cf_mean,19.610273
Europa Island,Apple_irr_2030y_SOC,cf_mean,
Falkland Islands (Malvinas),Apple_irr_2030y_SOC,cf_mean,
Faroe Islands,Apple_irr_2030y_SOC,cf_mean,
Fiji,Apple_irr_2030y_SOC,cf_mean,
Finland,Apple_irr_2030y_SOC,cf_mean,
France,Apple_irr_2030y_SOC,cf_mean,46.74541
French Guiana,Apple_irr_2030y_SOC,cf_mean,34.00318
French Polynesia,Apple_irr_2030y_SOC,cf_mean,
French Southern and Antarctic Territories,Apple_irr_2030y_SOC,cf_mean,
Gabon,Apple_irr_2030y_SOC,cf_mean,
Gambia,Apple_irr_2030y_SOC,cf_mean,
Gaza Strip,Apple_irr_2030y_SOC,cf_mean,20.645382
Georgia,Apple_irr_2030y_SOC,cf_mean,62.84466
Germany,Apple_irr_2030y_SOC,cf_mean,44.69201
Ghana,Apple_irr_2030y_SOC,cf_mean,
Gibraltar,Apple_irr_2030y_SOC,cf_mean,
Glorioso Island,Apple_irr_2030y_SOC,cf_mean,
Greece,Apple_irr_2030y_SOC,cf_mean,43.96959
Greenland,Apple_irr_2030y_SOC,cf_mean,
Grenada,Apple_irr_2030y_SOC,cf_mean,
Guadeloupe,Apple_irr_2030y_SOC,cf_mean,
Guam,Apple_irr_2030y_SOC,cf_mean,
Guatemala,Apple_irr_2030y_SOC,cf_mean,42.441986
Guernsey,Apple_irr_2030y_SOC,cf_mean,
Guinea,Apple_irr_2030y_SOC,cf_mean,
Guinea-Bissau,Apple_irr_2030y_SOC,cf_mean,
Guyana,Apple_irr_2030y_SOC,cf_mean,33.223225
Haiti,Apple_irr_2030y_SOC,cf_mean,
Hala'ib triangle,Apple_irr_2030y_SOC,cf_mean,
Heard Island and McDonald Islands,Apple_irr_2030y_SOC,cf_mean,
Holy See,Apple_irr_2030y_SOC,cf_mean,
Honduras,Apple_irr_2030y_SOC,cf_mean,43.664703
Hong Kong,Apple_irr_2030y_SOC,cf_mean,30.392508
Howland Island,Apple_irr_2030y_SOC,cf_mean,
Hungary,Apple_irr_2030y_SOC,cf_mean,
Iceland,Apple_irr_2030y_SOC,cf_mean,
Ilemi triangle,Apple_irr_2030y_SOC,cf_mean,
India,Apple_irr_2030y_SOC,cf_mean,23.80359
Indonesia,Apple_irr_2030y_SOC,cf_mean,
Iran  (Islamic Republic of),Apple_irr_2030y_SOC,cf_mean,
Iraq,Apple_irr_2030y_SOC,cf_mean,20.898811
Ireland,Apple_irr_2030y_SOC,cf_mean,
Isle of Man,Apple_irr_2030y_SOC,cf_mean,
Israel,Apple_irr_2030y_SOC,cf_mean,28.65519
Italy,Apple_irr_2030y_SOC,cf_mean,47.521774
Jamaica,Apple_irr_2030y_SOC,cf_mean,
Jammu and Kashmir,Apple_irr_2030y_SOC,cf_mean,54.7721
Japan,Apple_irr_2030y_SOC,cf_mean,62.954407
Jarvis Island,Apple_irr_2030y_SOC,cf_mean,
Jersey,Apple_irr_2030y_SOC,cf_mean,
Johnston Atoll,Apple_irr_2030y_SOC,cf_mean,
Jordan,Apple_irr_2030y_SOC,cf_mean,22.247835
Juan de Nova Island,Apple_irr_2030y_SOC,cf_mean,
Kazakhstan,Apple_irr_2030y_SOC,cf_mean,
Kenya,Apple_irr_2030y_SOC,cf_mean,22.602077
Kingman Reef,Apple_irr_2030y_SOC,cf_mean,
Kiribati,Apple_irr_2030y_SOC,cf_mean,
Kuril islands,Apple_irr_2030y_SOC,cf_mean,
Kuwait,Apple_irr_2030y_SOC,cf_mean,
Kyrgyzstan,Apple_irr_2030y_SOC,cf_mean,
Lao People's Democratic Republic,Apple_irr_2030y_SOC,cf_mean,42.935158
Latvia,Apple_irr_2030y_SOC,cf_mean,
Lebanon,Apple_irr_2030y_SOC,cf_mean,37.875168
Lesotho,Apple_irr_2030y_SOC,cf_mean,44.58702
Liberia,Apple_irr_2030y_SOC,cf_mean,
