ADM0_NAME,country,value,metric,flow_name
Abyei,,,cf_mean,Barley_irr_roff_2030y_SOC
Afghanistan,Afghanistan,21.295354263924132,cf_mean,Barley_irr_roff_2030y_SOC
Aksai Chin,,,cf_mean,Barley_irr_roff_2030y_SOC
Albania,Albania,44.25258060034387,cf_mean,Barley_irr_roff_2030y_SOC
Algeria,Algeria,10.242377066905767,cf_mean,Barley_irr_roff_2030y_SOC
American Samoa,,,cf_mean,Barley_irr_roff_2030y_SOC
Andorra,Andorra,47.96649823643132,cf_mean,Barley_irr_roff_2030y_SOC
Angola,Angola,13.839969838580945,cf_mean,Barley_irr_roff_2030y_SOC
Anguilla,,,cf_mean,Barley_irr_roff_2030y_SOC
Antarctica,,,cf_mean,Barley_irr_roff_2030y_SOC
Antigua and Barbuda,,,cf_mean,Barley_irr_roff_2030y_SOC
Argentina,Argentina,24.313152144284253,cf_mean,Barley_irr_roff_2030y_SOC
Armenia,Armenia,42.728587701454025,cf_mean,Barley_irr_roff_2030y_SOC
Aruba,,,cf_mean,Barley_irr_roff_2030y_SOC
Arunachal Pradesh,Arunachal Pradesh,41.369455108030145,cf_mean,Barley_irr_roff_2030y_SOC
Ashmore and Cartier Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Australia,Australia,18.184021714685365,cf_mean,Barley_irr_roff_2030y_SOC
Austria,Austria,53.61000387871586,cf_mean,Barley_irr_roff_2030y_SOC
Azerbaijan,Azerbaijan,38.766945863700776,cf_mean,Barley_irr_roff_2030y_SOC
Azores Islands,Azores Islands,76.20939184563038,cf_mean,Barley_irr_roff_2030y_SOC
Bahamas,,,cf_mean,Barley_irr_roff_2030y_SOC
Bahrain,Bahrain,10.607067199063954,cf_mean,Barley_irr_roff_2030y_SOC
Baker Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Bangladesh,Bangladesh,20.22518664641916,cf_mean,Barley_irr_roff_2030y_SOC
Barbados,,,cf_mean,Barley_irr_roff_2030y_SOC
Bassas da India,,,cf_mean,Barley_irr_roff_2030y_SOC
Belarus,Belarus,35.87795403696189,cf_mean,Barley_irr_roff_2030y_SOC
Belgium,Belgium,42.95424475207148,cf_mean,Barley_irr_roff_2030y_SOC
Belize,Belize,43.32639736599393,cf_mean,Barley_irr_roff_2030y_SOC
Benin,,,cf_mean,Barley_irr_roff_2030y_SOC
Bermuda,,,cf_mean,Barley_irr_roff_2030y_SOC
Bhutan,Bhutan,46.02435526168828,cf_mean,Barley_irr_roff_2030y_SOC
Bird Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Bolivia,Bolivia,31.84749660718927,cf_mean,Barley_irr_roff_2030y_SOC
Bosnia and Herzegovina,Bosnia and Herzegovina,52.7215898906844,cf_mean,Barley_irr_roff_2030y_SOC
Botswana,Botswana,8.863169336218954,cf_mean,Barley_irr_roff_2030y_SOC
Bouvet Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Brazil,Brazil,27.256471462963653,cf_mean,Barley_irr_roff_2030y_SOC
British Indian Ocean Territory,,,cf_mean,Barley_irr_roff_2030y_SOC
British Virgin Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Brunei Darussalam,,,cf_mean,Barley_irr_roff_2030y_SOC
Bulgaria,Bulgaria,33.05422728953667,cf_mean,Barley_irr_roff_2030y_SOC
Burkina Faso,Burkina Faso,7.393131843271522,cf_mean,Barley_irr_roff_2030y_SOC
Burundi,Burundi,33.72146379682042,cf_mean,Barley_irr_roff_2030y_SOC
Cambodia,Cambodia,28.52921894458814,cf_mean,Barley_irr_roff_2030y_SOC
Cameroon,Cameroon,31.286531118099695,cf_mean,Barley_irr_roff_2030y_SOC
Canada,Canada,49.79553081412935,cf_mean,Barley_irr_roff_2030y_SOC
Cape Verde,Cape Verde,38.36440324515862,cf_mean,Barley_irr_roff_2030y_SOC
Cayman Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Central African Republic,Central African Republic,18.759864443824405,cf_mean,Barley_irr_roff_2030y_SOC
Chad,Chad,8.374898000211518,cf_mean,Barley_irr_roff_2030y_SOC
Chile,Chile,47.47505886766424,cf_mean,Barley_irr_roff_2030y_SOC
China,China,31.49530918706508,cf_mean,Barley_irr_roff_2030y_SOC
China/India,,,cf_mean,Barley_irr_roff_2030y_SOC
Christmas Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Clipperton Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Cocos (Keeling) Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Colombia,Colombia,58.16433447846464,cf_mean,Barley_irr_roff_2030y_SOC
Comoros,Comoros,77.13009282543737,cf_mean,Barley_irr_roff_2030y_SOC
Congo,,,cf_mean,Barley_irr_roff_2030y_SOC
Cook Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Costa Rica,Costa Rica,46.586743419394374,cf_mean,Barley_irr_roff_2030y_SOC
Croatia,Croatia,46.8448113841975,cf_mean,Barley_irr_roff_2030y_SOC
Cuba,Cuba,46.43998113779682,cf_mean,Barley_irr_roff_2030y_SOC
Cyprus,Cyprus,39.35326444676792,cf_mean,Barley_irr_roff_2030y_SOC
Czech Republic,Czech Republic,39.12135176734793,cf_mean,Barley_irr_roff_2030y_SOC
Côte d'Ivoire,,,cf_mean,Barley_irr_roff_2030y_SOC
Dem People's Rep of Korea,Dem People's Rep of Korea,46.183666141203254,cf_mean,Barley_irr_roff_2030y_SOC
Democratic Republic of the Congo,Democratic Republic of the Congo,25.440271371128826,cf_mean,Barley_irr_roff_2030y_SOC
Denmark,Denmark,47.50569297479705,cf_mean,Barley_irr_roff_2030y_SOC
Djibouti,Djibouti,8.69237604039883,cf_mean,Barley_irr_roff_2030y_SOC
Dominica,,,cf_mean,Barley_irr_roff_2030y_SOC
Dominican Republic,Dominican Republic,36.11485234903975,cf_mean,Barley_irr_roff_2030y_SOC
Ecuador,Ecuador,51.22538534186099,cf_mean,Barley_irr_roff_2030y_SOC
Egypt,Egypt,10.857763878937721,cf_mean,Barley_irr_roff_2030y_SOC
El Salvador,El Salvador,35.188852001329565,cf_mean,Barley_irr_roff_2030y_SOC
Equatorial Guinea,Equatorial Guinea,87.47341664632161,cf_mean,Barley_irr_roff_2030y_SOC
Eritrea,Eritrea,17.166971383749434,cf_mean,Barley_irr_roff_2030y_SOC
Estonia,Estonia,67.5305242465869,cf_mean,Barley_irr_roff_2030y_SOC
Ethiopia,Ethiopia,32.94816248580872,cf_mean,Barley_irr_roff_2030y_SOC
Europa Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Falkland Islands (Malvinas),,,cf_mean,Barley_irr_roff_2030y_SOC
Faroe Islands,,,cf_mean,Barley_irr_roff_2030y_SOC
Fiji,Fiji,75.91001489427354,cf_mean,Barley_irr_roff_2030y_SOC
Finland,Finland,66.62189445922316,cf_mean,Barley_irr_roff_2030y_SOC
France,France,41.96997647615142,cf_mean,Barley_irr_roff_2030y_SOC
French Guiana,,,cf_mean,Barley_irr_roff_2030y_SOC
French Polynesia,,,cf_mean,Barley_irr_roff_2030y_SOC
French Southern and Antarctic Territories,,,cf_mean,Barley_irr_roff_2030y_SOC
Gabon,,,cf_mean,Barley_irr_roff_2030y_SOC
Gambia,,,cf_mean,Barley_irr_roff_2030y_SOC
Gaza Strip,Gaza Strip,19.504371988214807,cf_mean,Barley_irr_roff_2030y_SOC
Georgia,Georgia,55.006804339595064,cf_mean,Barley_irr_roff_2030y_SOC
Germany,Germany,43.5987092386913,cf_mean,Barley_irr_roff_2030y_SOC
Ghana,,,cf_mean,Barley_irr_roff_2030y_SOC
Gibraltar,,,cf_mean,Barley_irr_roff_2030y_SOC
Glorioso Island,,,cf_mean,Barley_irr_roff_2030y_SOC
Greece,Greece,34.86695612399948,cf_mean,Barley_irr_roff_2030y_SOC
