ADM0_NAME,flow_name,metric,value
Abyei,acid_nox,cf_mean,0.33954725
Afghanistan,acid_nox,cf_mean,0.9546978
Aksai Chin,acid_nox,cf_mean,1.1637104
Albania,acid_nox,cf_mean,0.58598375
Algeria,acid_nox,cf_mean,0.21126628
American Samoa,acid_nox,cf_mean,0.006833296
Andorra,acid_nox,cf_mean,0.5765525
Angola,acid_nox,cf_mean,0.22461416
Anguilla,acid_nox,cf_mean,0.05671405
Antarctica,acid_nox,cf_mean,0.0
Antigua and Barbuda,acid_nox,cf_mean,0.05096253
Argentina,acid_nox,cf_mean,0.12826887
Armenia,acid_nox,cf_mean,0.8250703
Aruba,acid_nox,cf_mean,0.07228469
Arunachal Pradesh,acid_nox,cf_mean,0.5763252
Ashmore and Cartier Islands,acid_nox,cf_mean,0.04697354
Australia,acid_nox,cf_mean,0.13660476
Austria,acid_nox,cf_mean,1.063788
Azerbaijan,acid_nox,cf_mean,0.7470137
Azores Islands,acid_nox,cf_mean,0.3836211
Bahamas,acid_nox,cf_mean,0.11035786
Bahrain,acid_nox,cf_mean,0.76615584
Baker Island,acid_nox,cf_mean,0.0034343994
Bangladesh,acid_nox,cf_mean,0.3569047
Barbados,acid_nox,cf_mean,0.060149383
Bassas da India,acid_nox,cf_mean,0.19187334
Belarus,acid_nox,cf_mean,0.68481493
Belgium,acid_nox,cf_mean,0.7644028
Belize,acid_nox,cf_mean,0.075440615
Benin,acid_nox,cf_mean,0.11772607
Bermuda,acid_nox,cf_mean,0.21919335
Bhutan,acid_nox,cf_mean,0.59343743
Bird Island,acid_nox,cf_mean,0.04937946
Bolivia,acid_nox,cf_mean,0.24409841
Bosnia and Herzegovina,acid_nox,cf_mean,0.8041138
Botswana,acid_nox,cf_mean,0.35517374
Bouvet Island,acid_nox,cf_mean,0.0
Brazil,acid_nox,cf_mean,0.2217047
British Indian Ocean Territory,acid_nox,cf_mean,0.04803023
British Virgin Islands,acid_nox,cf_mean,0.05671405
Brunei Darussalam,acid_nox,cf_mean,0.12891616
Bulgaria,acid_nox,cf_mean,0.6316281
Burkina Faso,acid_nox,cf_mean,0.13841663
Burundi,acid_nox,cf_mean,0.19206168
Cambodia,acid_nox,cf_mean,0.1955234
Cameroon,acid_nox,cf_mean,0.19408523
Canada,acid_nox,cf_mean,0.55579036
Cape Verde,acid_nox,cf_mean,0.057709273
Cayman Islands,acid_nox,cf_mean,0.074915595
Central African Republic,acid_nox,cf_mean,0.3881457
Chad,acid_nox,cf_mean,0.2972783
Chile,acid_nox,cf_mean,0.21665038
China,acid_nox,cf_mean,0.82936436
China/India,acid_nox,cf_mean,0.8425918
Christmas Island,acid_nox,cf_mean,0.06280233
Clipperton Island,acid_nox,cf_mean,0.032804966
Cocos (Keeling) Islands,acid_nox,cf_mean,0.04933148
Colombia,acid_nox,cf_mean,0.15415949
Comoros,acid_nox,cf_mean,0.1306665
Congo,acid_nox,cf_mean,0.19199546
Cook Islands,acid_nox,cf_mean,0.0076841004
Costa Rica,acid_nox,cf_mean,0.08372085
Croatia,acid_nox,cf_mean,0.821306
Cuba,acid_nox,cf_mean,0.09157414
Cyprus,acid_nox,cf_mean,0.49601614
Czech Republic,acid_nox,cf_mean,1.1218826
Côte d'Ivoire,acid_nox,cf_mean,0.094970375
Dem People's Rep of Korea,acid_nox,cf_mean,0.8262261
Democratic Republic of the Congo,acid_nox,cf_mean,0.20584716
Denmark,acid_nox,cf_mean,0.5707744
Djibouti,acid_nox,cf_mean,0.22221963
Dominica,acid_nox,cf_mean,0.047539372
Dominican Republic,acid_nox,cf_mean,0.059756674
Ecuador,acid_nox,cf_mean,0.17807847
