flow,country,subcountry,ecoregion,in_all
Apples|irr|na|ct,True,True,True,True
Apples|rf|na|ct,True,True,True,True
BRDC_Boreal_dry,True,True,True,True
BRDC_Boreal_moist,True,True,True,True
BRDC_Cold_temperate_dry,True,True,True,True
BRDC_Cold_temperate_moist,True,True,True,True
BRDC_Subtropical,True,True,True,True
BRDC_Tropical,True,True,True,True
BRDC_Warm_temperate_dry,True,True,True,True
BRDC_Warm_temperate_moist,True,True,True,True
Bananas|irr|na|ct,True,True,True,True
Bananas|rf|na|ct,True,True,True,True
Barley|irr|roff|ct,True,True,True,True
Barley|irr|roff|rt,True,True,True,True
Barley|irr|ron|ct,True,True,True,True
Barley|irr|ron|rt,True,True,True,True
Barley|rf|roff|ct,True,True,True,True
Barley|rf|roff|rt,True,True,True,True
Barley|rf|ron|ct,True,True,True,True
Barley|rf|ron|rt,True,True,True,True
Cabbages|irr|na|ct,True,True,True,True
Carrots|irr|na|ct,True,True,True,True
Cocoa|irr|na|ct,True,True,True,True
Cocoa|rf|na|ct,True,True,True,True
Coconuts|irr|na|ct,True,True,True,True
Coconuts|rf|na|ct,True,True,True,True
Coffee|irr|na|ct,True,True,True,True
Coffee|rf|na|ct,True,True,True,True
Cotton|irr|na|ct,True,True,True,True
Cotton|irr|na|rt,True,True,True,True
Cotton|rf|na|ct,True,True,True,True
Cotton|rf|na|rt,True,True,True,True
Grapes|irr|na|ct,True,True,True,True
Grapes|rf|na|ct,True,True,True,True
Grassland,True,True,True,True
Groundnuts|irr|na|ct,True,True,True,True
Groundnuts|rf|na|ct,True,True,True,True
Maize|irr|roff|ct,True,True,True,True
Maize|irr|roff|rt,True,True,True,True
Maize|irr|ron|ct,True,True,True,True
Maize|irr|ron|rt,True,True,True,True
Maize|rf|roff|ct,True,True,True,True
Maize|rf|roff|rt,True,True,True,True
Maize|rf|ron|ct,True,True,True,True
Maize|rf|ron|rt,True,True,True,True
NEEV_Boreal_dry,True,True,True,True
NEEV_Boreal_moist,True,True,True,True
NEEV_Cold_temperate_dry,True,True,True,True
NEEV_Cold_temperate_moist,True,True,True,True
NEEV_Subtropical,True,True,True,True
NEEV_Tropical,True,True,True,True
NEEV_Warm_temperate_dry,True,True,True,True
Oil_palm|irr|na|ct,True,True,True,True
Oil_palm|rf|na|ct,True,True,True,True
Olives|irr|na|ct,True,True,True,True
Olives|rf|na|ct,True,True,True,True
Onions|irr|na|ct,True,True,True,True
Oranges|irr|na|ct,True,True,True,True
Oranges|rf|na|ct,True,True,True,True
Potatoes|irr|na|ct,True,True,True,True
Potatoes|rf|na|ct,True,True,True,True
Rapeseed|irr|roff|ct,True,True,True,True
Rapeseed|irr|roff|rt,True,True,True,True
Rapeseed|irr|ron|ct,True,True,True,True
Rapeseed|irr|ron|rt,True,True,True,True
Rapeseed|rf|roff|ct,True,True,True,True
Rapeseed|rf|roff|rt,True,True,True,True
Rapeseed|rf|ron|ct,True,True,True,True
Rapeseed|rf|ron|rt,True,True,True,True
Rice|irr|na|ct,True,True,True,True
Rice|rf|na|ct,True,True,True,True
Sorghum|irr|roff|ct,True,True,True,True
Sorghum|irr|roff|rt,True,True,True,True
Sorghum|irr|ron|ct,True,True,True,True
Sorghum|irr|ron|rt,True,True,True,True
Sorghum|rf|roff|ct,True,True,True,True
Sorghum|rf|roff|rt,True,True,True,True
Sorghum|rf|ron|ct,True,True,True,True
Sorghum|rf|ron|rt,True,True,True,True
Soybeans|irr|na|ct,True,True,True,True
Soybeans|irr|na|rt,True,True,True,True
Soybeans|rf|na|ct,True,True,True,True
Soybeans|rf|na|rt,True,True,True,True
Sugarbeet|irr|na|ct,True,True,True,True
Sugarbeet|rf|na|ct,True,True,True,True
Sugarcane|irr|na|ct,True,True,True,True
Sugarcane|rf|na|ct,True,True,True,True
Sunflower|irr|na|ct,True,True,True,True
Sunflower|irr|na|rt,True,True,True,True
Sunflower|rf|na|ct,True,True,True,True
Sunflower|rf|na|rt,True,True,True,True
Sweet_potatoes|irr|na|ct,True,True,True,True
Sweet_potatoes|rf|na|ct,True,True,True,True
Tobacco|irr|na|ct,True,True,True,True
Tobacco|rf|na|ct,True,True,True,True
Tomatoes|irr|na|ct,True,True,True,True
Tomatoes|rf|na|ct,True,True,True,True
Urban,True,True,True,True
Wheat|irr|roff|ct,True,True,True,True
Wheat|irr|roff|rt,True,True,True,True
Wheat|irr|ron|ct,True,True,True,True
Wheat|irr|ron|rt,True,True,True,True
Wheat|rf|roff|ct,True,True,True,True
Wheat|rf|roff|rt,True,True,True,True
Wheat|rf|ron|ct,True,True,True,True
Wheat|rf|ron|rt,True,True,True,True
