ADM0_NAME,flow_name,metric,value
Abyei,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,0.9172246
Afghanistan,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,5.349636
Aksai Chin,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Albania,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,16.692776
Algeria,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.4093786
American Samoa,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Andorra,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,19.025812
Angola,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,4.8420563
Anguilla,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Antarctica,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Antigua and Barbuda,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,4.2288957
Argentina,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,2.4919262
Armenia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,4.5268545
Aruba,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Arunachal Pradesh,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,66.81189
Ashmore and Cartier Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Australia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.536441
Austria,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,10.977486
Azerbaijan,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,4.1772313
Azores Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Bahamas,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,2.9500568
Bahrain,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Baker Island,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Bangladesh,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,9.318324
Barbados,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Bassas da India,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Belarus,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,0.2262102
Belgium,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,0.90748364
Belize,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,19.386044
Benin,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,3.2035413
Bermuda,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Bhutan,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,58.87384
Bird Island,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Bolivia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,13.21018
Bosnia and Herzegovina,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,10.510078
Botswana,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,0.6742789
Bouvet Island,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Brazil,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,10.568027
British Indian Ocean Territory,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
British Virgin Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Brunei Darussalam,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,19.939762
Bulgaria,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,2.6395233
Burkina Faso,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.5856512
Burundi,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,19.837818
Cambodia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,12.7200165
Cameroon,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,12.652548
Canada,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.8328711
Cape Verde,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Cayman Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Central African Republic,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,4.0887065
Chad,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.1609991
Chile,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,13.2367525
China,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,14.635619
China/India,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,10.599896
Christmas Island,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Clipperton Island,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Cocos (Keeling) Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Colombia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,24.11247
Comoros,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,135.39967
Congo,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,8.3685055
Cook Islands,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,
Costa Rica,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,45.96724
Croatia,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,7.1153407
Cuba,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,14.696814
Cyprus,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,2.1292884
Czech Republic,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,1.2460574
Côte d'Ivoire,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,6.7534566
Dem People's Rep of Korea,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,26.50397
Democratic Republic of the Congo,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,9.947446
Denmark,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,0.35538018
Djibouti,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,3.2743292
Dominica,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,98.739845
Dominican Republic,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,25.275057
Ecuador,se_rate_25km_clipped_Barley_irr_roff_rt,cf_mean,33.525463
