,ADM0_NAME,flow_name,leaf,leaf_median,leaf_std,_source_file
0,Abyei,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
1,Afghanistan,Barley_irr_roff_rt,3.8081217,1.2991362,6.647722,se_rate_25km_clipped_Barley_irr_roff_rt.tif
2,Aksai Chin,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
3,Albania,Barley_irr_roff_rt,16.292519,15.652354,9.003258,se_rate_25km_clipped_Barley_irr_roff_rt.tif
4,Algeria,Barley_irr_roff_rt,1.4688201,0.37440202,2.578442,se_rate_25km_clipped_Barley_irr_roff_rt.tif
5,American Samoa,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
6,Andorra,Barley_irr_roff_rt,33.872578,36.222557,3.3463564,se_rate_25km_clipped_Barley_irr_roff_rt.tif
7,Angola,Barley_irr_roff_rt,4.432113,2.5694811,5.710043,se_rate_25km_clipped_Barley_irr_roff_rt.tif
8,Anguilla,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
9,Antarctica,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
10,Antigua and Barbuda,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
11,Argentina,Barley_irr_roff_rt,2.3647566,1.1174039,5.805199,se_rate_25km_clipped_Barley_irr_roff_rt.tif
12,Armenia,Barley_irr_roff_rt,4.4603143,3.8500724,3.830257,se_rate_25km_clipped_Barley_irr_roff_rt.tif
13,Aruba,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
14,Arunachal Pradesh,Barley_irr_roff_rt,86.654236,87.92092,44.964954,se_rate_25km_clipped_Barley_irr_roff_rt.tif
15,Ashmore and Cartier Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
16,Australia,Barley_irr_roff_rt,1.6261646,0.37410805,4.0752435,se_rate_25km_clipped_Barley_irr_roff_rt.tif
17,Austria,Barley_irr_roff_rt,9.538262,7.24177,8.610671,se_rate_25km_clipped_Barley_irr_roff_rt.tif
18,Azerbaijan,Barley_irr_roff_rt,4.110748,1.949909,5.5581813,se_rate_25km_clipped_Barley_irr_roff_rt.tif
19,Azores Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
20,Bahamas,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
21,Bahrain,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
22,Baker Island,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
23,Bangladesh,Barley_irr_roff_rt,9.387213,5.163382,16.157894,se_rate_25km_clipped_Barley_irr_roff_rt.tif
24,Barbados,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
25,Bassas da India,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
26,Belarus,Barley_irr_roff_rt,0.2262102,0.20647693,0.08324374,se_rate_25km_clipped_Barley_irr_roff_rt.tif
27,Belgium,Barley_irr_roff_rt,0.90812564,0.3634973,1.1463313,se_rate_25km_clipped_Barley_irr_roff_rt.tif
28,Belize,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
29,Benin,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
30,Bermuda,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
31,Bhutan,Barley_irr_roff_rt,79.635826,77.04081,46.72106,se_rate_25km_clipped_Barley_irr_roff_rt.tif
32,Bird Island,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
33,Bolivia,Barley_irr_roff_rt,35.915215,25.88593,36.115055,se_rate_25km_clipped_Barley_irr_roff_rt.tif
34,Bosnia and Herzegovina,Barley_irr_roff_rt,10.510078,9.418357,7.727803,se_rate_25km_clipped_Barley_irr_roff_rt.tif
35,Botswana,Barley_irr_roff_rt,0.68196523,0.5890092,0.3846632,se_rate_25km_clipped_Barley_irr_roff_rt.tif
36,Bouvet Island,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
37,Brazil,Barley_irr_roff_rt,16.253042,8.242125,19.687925,se_rate_25km_clipped_Barley_irr_roff_rt.tif
38,British Indian Ocean Territory,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
39,British Virgin Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
40,Brunei Darussalam,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
41,Bulgaria,Barley_irr_roff_rt,2.635745,2.0212169,2.0286508,se_rate_25km_clipped_Barley_irr_roff_rt.tif
42,Burkina Faso,Barley_irr_roff_rt,0.9273921,0.7101958,0.8958415,se_rate_25km_clipped_Barley_irr_roff_rt.tif
43,Burundi,Barley_irr_roff_rt,22.004063,14.481907,19.151287,se_rate_25km_clipped_Barley_irr_roff_rt.tif
44,Cambodia,Barley_irr_roff_rt,25.390055,20.495638,19.443262,se_rate_25km_clipped_Barley_irr_roff_rt.tif
45,Cameroon,Barley_irr_roff_rt,20.935217,14.67016,21.258305,se_rate_25km_clipped_Barley_irr_roff_rt.tif
46,Canada,Barley_irr_roff_rt,1.5521637,0.38232335,4.5200906,se_rate_25km_clipped_Barley_irr_roff_rt.tif
47,Cape Verde,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
48,Cayman Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
49,Central African Republic,Barley_irr_roff_rt,11.071314,11.071314,0.0,se_rate_25km_clipped_Barley_irr_roff_rt.tif
50,Chad,Barley_irr_roff_rt,0.7795571,0.5287331,1.1049759,se_rate_25km_clipped_Barley_irr_roff_rt.tif
51,Chile,Barley_irr_roff_rt,7.004502,3.948503,9.10095,se_rate_25km_clipped_Barley_irr_roff_rt.tif
52,China,Barley_irr_roff_rt,17.448408,4.9587593,25.29232,se_rate_25km_clipped_Barley_irr_roff_rt.tif
53,China/India,Barley_irr_roff_rt,20.349356,20.349356,0.0,se_rate_25km_clipped_Barley_irr_roff_rt.tif
54,Christmas Island,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
55,Clipperton Island,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
56,Cocos (Keeling) Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
57,Colombia,Barley_irr_roff_rt,80.1231,80.05933,45.399685,se_rate_25km_clipped_Barley_irr_roff_rt.tif
58,Comoros,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
59,Congo,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
60,Cook Islands,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
61,Costa Rica,Barley_irr_roff_rt,99.48522,96.71307,40.556076,se_rate_25km_clipped_Barley_irr_roff_rt.tif
62,Croatia,Barley_irr_roff_rt,7.1153407,4.159625,9.022703,se_rate_25km_clipped_Barley_irr_roff_rt.tif
63,Cuba,Barley_irr_roff_rt,31.985096,31.985096,3.5527137e-15,se_rate_25km_clipped_Barley_irr_roff_rt.tif
64,Cyprus,Barley_irr_roff_rt,2.1292884,1.2921267,2.1933708,se_rate_25km_clipped_Barley_irr_roff_rt.tif
65,Czech Republic,Barley_irr_roff_rt,1.2460574,0.81520057,1.3570057,se_rate_25km_clipped_Barley_irr_roff_rt.tif
66,Côte d'Ivoire,Barley_irr_roff_rt,,,,se_rate_25km_clipped_Barley_irr_roff_rt.tif
