Area;Item;Unit;Y2014;Y2015;Y2016;Y2017;Y2018;Y2019;Y2020;Y2021;Y2022;Y2023;avg_yield_1423;ratio_yield_20_toavg
Afghanistan;Apples;kg/ha;7300.0;6882.4;7276.2;6348.7;7652.7;9083.2;10562.6;10559.4;10556.0;10451.6;8667.28;0.8205631189290515
Afghanistan;Barley;kg/ha;1521.3;1429.1;1377.0;1393.3;674.8;1469.9;1483.8;1616.5;1528.4;1375.0;1386.9099999999999;0.9347014422428898
Afghanistan;Grapes;kg/ha;9500.0;10232.1;10606.9;10595.1;11244.5;12422.0;10729.5;10727.9;9825.0;11677.4;10756.039999999999;1.0024735542196745
Afghanistan;Maize (corn);kg/ha;2488.2;2145.7;2051.7;1295.7;1472.7;1945.7;1934.4;1900.4;2237.4;2858.3;2033.02;1.0509822167080232
Afghanistan;Olives;kg/ha;3143.7;3396.5;3636.6;3377.9;3462.2;3593.7;3633.3;3477.7;3503.0;3527.1;3475.1699999999996;0.9564775823631408
Afghanistan;Oranges;kg/ha;6600.0;4901.5;5445.1;5825.8;6056.7;6172.8;7231.3;6718.5;5814.4;5946.8;6071.29;0.8395848602602575
Afghanistan;Potatoes;kg/ha;13605.4;13090.3;11986.8;15979.4;19002.6;16141.3;15936.9;15785.9;15875.0;14573.8;15197.74;0.9536195872472062
Afghanistan;Rice;kg/ha;3643.2;3731.7;4472.3;4614.8;4470.9;4476.6;4441.7;4406.5;4625.0;4627.9;4351.0599999999995;0.9795933989238353
Afghanistan;Seed cotton, unginned;kg/ha;1223.7;1198.4;1154.5;1154.7;1454.6;1481.0;1305.3;1365.6;1320.6;1318.7;1297.7100000000003;0.9941852447713172
Afghanistan;Soya beans;kg/ha;;;;;;;;;1589.7;2000.0;1794.85;
Afghanistan;Sugar beet;kg/ha;11561.2;8157.9;7831.7;10457.7;27362.2;15071.4;14501.4;14845.7;16839.7;20000.0;14662.89;1.011136166163267
Afghanistan;Sugar cane;kg/ha;23390.0;14471.7;13026.3;29454.1;14394.7;22104.1;26146.7;26190.9;34248.7;28000.0;23142.72;0.885110549323624
Afghanistan;Sunflower seed;kg/ha;1871.4;1443.3;1324.1;1290.9;1223.1;899.1;1069.1;1157.8;1120.8;1067.9;1246.75;1.1661678046955384
Afghanistan;Wheat;kg/ha;2023.7;2195.9;1980.3;2034.2;2210.0;2095.1;1943.4;1963.1;2045.3;2146.7;2063.77;1.0619378408973963
Albania;Apples;kg/ha;21242.6;22885.9;24002.8;22165.6;25238.7;24441.3;23114.7;26225.8;24137.2;22284.2;23573.879999999997;1.0198652805357629
Albania;Barley;kg/ha;2700.7;2800.0;2899.5;2947.8;2842.2;2896.4;3353.2;3019.1;3397.2;3383.2;3023.9300000000003;0.9018042466897294
Albania;Cabbages;kg/ha;23726.8;26520.1;30690.7;29015.9;30500.3;34805.2;35825.2;34700.5;33855.8;35277.8;31491.829999999998;0.8790412893717272
Albania;Carrots and turnips;kg/ha;19825.8;26739.4;33165.2;31693.0;31495.4;32082.7;28419.3;28347.6;29486.2;37953.3;29920.79;1.0528334617671795
Albania;Grapes;kg/ha;21163.6;20724.3;20477.6;18976.0;18158.2;18518.2;19040.6;20100.2;20454.7;18296.6;19591.0;1.0289066521012995
Albania;Maize (corn);kg/ha;6909.1;6959.7;6487.7;6563.2;7227.3;7052.9;7035.9;7107.3;7090.1;7362.2;6979.539999999999;0.9919896530649952
Albania;Olives;kg/ha;2452.2;2313.0;2547.6;2373.8;2535.1;2085.7;2743.6;2261.0;3187.6;2333.5;2483.31;0.9051282985857997
Albania;Onions and shallots, green;kg/ha;17371.8;18869.1;19948.7;20855.4;21296.7;20925.7;21640.5;22780.0;22388.2;22101.1;20817.72;0.9619796215429404
Albania;Oranges;kg/ha;18558.6;37385.3;48148.3;41502.2;47484.6;49596.6;52033.5;53019.6;59558.3;59615.1;46690.21;0.8973105787617592
Albania;Potatoes;kg/ha;25000.0;24257.4;24589.4;25111.0;26171.4;25645.5;26274.2;24943.3;26505.9;27233.1;25573.120000000003;0.9733167898546864
Albania;Rice;kg/ha;;;;;;;;;;;;
Albania;Seed cotton, unginned;kg/ha;1108.1;1108.1;1108.1;1108.1;1108.1;1107.8;1108.0;1108.0;1107.9;1108.0;1108.02;1.0000180505415162
Albania;Sorghum;kg/ha;;;;;;;;;;;;
Albania;Soya beans;kg/ha;1690.8;2500.0;2515.2;2202.6;2940.7;2762.6;2578.9;2414.2;2870.3;2863.2;2533.85;0.9825313117996044
Albania;Sugar beet;kg/ha;22680.1;27054.2;30378.5;33847.3;39152.4;38142.9;32215.1;32282.9;32250.4;31847.4;31985.120000000003;0.9928611117146929
Albania;Sunflower seed;kg/ha;2915.5;2857.1;2899.7;2225.1;2280.3;2307.5;2322.9;2379.2;2369.4;2354.7;2491.1400000000003;1.0724267079943175
Albania;Tomatoes;kg/ha;37184.4;41085.4;44014.2;44371.1;43817.5;44975.1;45649.4;46988.4;47305.2;48246.3;44363.7;0.971835336280433
Albania;Unmanufactured tobacco;kg/ha;2000.0;1833.3;1798.4;1982.5;1686.3;1730.0;1899.6;1954.8;2152.6;1933.5;1897.1;0.9986839334596758
Albania;Wheat;kg/ha;4000.1;3951.1;3900.0;4036.7;3692.7;4068.0;4327.1;4130.5;4296.3;4053.9;4045.6400000000003;0.9349541263201683
Algeria;Apples;kg/ha;11450.7;11008.6;10871.6;11076.7;14495.2;16939.9;17163.5;16756.3;16834.0;17912.9;14450.940000000002;0.8419576426719493
Algeria;Bananas;kg/ha;25259.5;23130.6;25018.7;24686.6;24431.3;24727.8;24620.2;24597.3;24649.3;24622.4;24574.37;0.9981385204019463
Algeria;Barley;kg/ha;1186.3;1284.4;744.1;744.1;1811.9;1454.3;1240.3;1056.6;975.6;975.6;1147.32;0.9250342659034104
Algeria;Cabbages;kg/ha;22781.0;21386.9;25205.7;24855.9;26399.5;26969.2;30266.0;32224.7;32350.0;32513.4;27495.23;0.9084527192228904
Algeria;Carrots and turnips;kg/ha;21439.6;20996.5;23314.5;23956.5;24072.2;24015.9;25703.2;24435.7;25833.2;27104.6;24087.19;0.9371280618755641
Algeria;Grapes;kg/ha;7799.7;8609.8;8125.3;8144.1;7250.0;8009.3;7994.9;9930.5;9704.8;9613.7;8518.210000000001;1.0654554778671406
Algeria;Groundnuts, excluding shelled;kg/ha;1533.9;1612.3;2091.3;2774.5;2501.0;2579.2;2623.9;2759.1;2879.5;3172.2;2452.69;0.9347497999161554
