region_id,commodity,soc_base,soc_regen,se_base,se_regen,d_soc,d_soc_pct,d_se_red,d_se_red_pct,win_win,soc_rank,se_rank,priority,region_name,country_name,biome,realm
0,Wheat,66.1917,82.921,151.802,35.0663,16.7293,25.274,116.7358,76.9,True,0.8574,0.913,0.8852,Rock and Ice,,,
1,Wheat,45.3171,46.342,97.6474,22.5566,1.0249,2.2616,75.0909,76.9,True,0.0574,0.8204,0.4389,Albertine Rift montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
2,Wheat,39.5813,42.5636,89.5399,20.6837,2.9822,7.5344,68.8562,76.9,True,0.1222,0.8093,0.4657,Cameroon Highlands forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
7,Wheat,58.6846,49.7143,89.684,20.717,-8.9703,-15.2857,68.967,76.9,False,0.0056,0.8111,0.4083,Cross-Sanaga-Bioko coastal forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
8,Wheat,40.2751,43.4321,42.3784,9.7894,3.157,7.8386,32.589,76.9,True,0.1296,0.6796,0.4046,East African montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
9,Wheat,43.727,52.1179,118.2442,27.3144,8.3909,19.1892,90.9298,76.9,True,0.487,0.8574,0.6722,Eastern Arc forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
12,Wheat,43.6219,47.4334,73.3629,16.9468,3.8115,8.7375,56.4161,76.9,True,0.1778,0.7778,0.4778,Ethiopian montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
15,Wheat,41.5157,60.0847,17.0658,3.9422,18.569,44.7277,13.1236,76.9,True,0.9019,0.5037,0.7028,Knysna-Amatole montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
16,Wheat,34.5584,52.797,44.1916,10.2083,18.2386,52.776,33.9834,76.9,True,0.8944,0.687,0.7907,Kwazulu Natal-Cape coastal forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
17,Wheat,39.6465,46.331,163.3968,37.7447,6.6845,16.8602,125.6522,76.9,True,0.363,0.9278,0.6454,Madagascar humid forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
18,Wheat,29.1873,37.5662,68.1942,15.7529,8.3789,28.7073,52.4413,76.9,True,0.4852,0.7667,0.6259,Madagascar subhumid forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
19,Wheat,22.9739,28.952,5.8969,1.3622,5.9781,26.0213,4.5347,76.9,True,0.3333,0.2611,0.2972,Maputaland coastal forests and woodlands,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
24,Wheat,44.048,45.3842,132.2465,30.5489,1.3361,3.0333,101.6976,76.9,True,0.0685,0.8778,0.4731,Northeast Congolian lowland forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
25,Wheat,37.1433,40.7753,93.9635,21.7056,3.632,9.7783,72.2579,76.9,True,0.1648,0.8148,0.4898,Northern Swahili coastal forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
28,Wheat,27.7579,34.4998,16.3979,3.7879,6.7419,24.2882,12.61,76.9,True,0.3722,0.4926,0.4324,Southern Swahili coastal forests and woodlands,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic
32,Wheat,29.059,37.5903,62.6909,14.4816,8.5313,29.3584,48.2093,76.9,True,0.5019,0.7519,0.6269,Madagascar dry deciduous forests,,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic
33,Wheat,26.349,45.3576,8.5339,1.9713,19.0086,72.1419,6.5626,76.9,True,0.9093,0.3593,0.6343,Zambezian evergreen dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic
