region_name,country_name,biome,realm,d_soc,d_se_red,priority
Northeast Himalayan subalpine conifer forests,,Temperate Conifer Forests,Palearctic,3.6462,408.4602,0.9849
Marañón dry forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,3.6597,182.2209,0.9527
Madagascar ericoid thickets,,Montane Grasslands & Shrublands,Afrotropic,2.6027,237.8869,0.9316
Cordillera Central páramo,,Montane Grasslands & Shrublands,Neotropic,3.5182,155.6675,0.9266
Oaxacan montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2.6375,206.8038,0.9266
Sierra Madre de Oaxaca pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,3.8216,129.7647,0.9235
Hainan Island monsoon rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,3.2312,158.3512,0.9195
Sierra Madre Occidental pine-oak forests,,Tropical & Subtropical Coniferous Forests,Nearctic,3.7039,119.1991,0.9105
Sierra Madre del Sur pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,3.3804,122.9718,0.9024
Sinaloan dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,3.1488,89.7786,0.8672
Jalisco dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,2.6972,94.3684,0.8592
Balsas dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,3.5116,74.6502,0.8541
Southern Pacific dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,2.7088,88.8849,0.8531
Madagascar humid forests,,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,1.6759,176.271,0.8481
Chimalapas montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2.772,82.6974,0.8481
Caatinga Enclaves moist forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,6.0047,53.8937,0.8431
Southern Rift Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic,2.3286,98.5431,0.8421
Mulanje Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic,2.3146,97.0066,0.84
Trans-Mexican Volcanic Belt pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,2.8445,77.217,0.84
Serra do Mar coastal forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2.6792,79.9353,0.838
