region_name,country_name,biome,realm,d_soc,d_se_red,priority
Yapen rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,38.1241,391.4493,0.9815
New Caledonia rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,37.0986,342.8275,0.9738
Seram rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,38.5027,313.0659,0.97
Halmahera rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,32.3444,289.448,0.9546
Lesser Sundas deciduous forests,,Tropical & Subtropical Dry Broadleaf Forests,Australasia,37.8292,260.7618,0.95
Fiji tropical dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Oceania,24.3107,338.188,0.9438
Louisiade Archipelago rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,46.4896,179.9392,0.9277
Solomon Islands rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,41.9211,181.9719,0.9269
Eastern Java-Bali montane rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,32.047,201.8496,0.9238
Mindoro rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,23.453,280.1615,0.9231
Sumba deciduous forests,,Tropical & Subtropical Dry Broadleaf Forests,Australasia,69.3502,163.5432,0.9223
Northeast Himalayan subalpine conifer forests,,Temperate Conifer Forests,Palearctic,24.141,246.1927,0.9169
Hawai'i tropical low shrublands,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Oceania,24.7448,223.6024,0.9131
Sulawesi lowland rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,23.7215,244.9726,0.9115
Windward Islands moist forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,21.2373,312.2399,0.9108
Timor and Wetar deciduous forests,,Tropical & Subtropical Dry Broadleaf Forests,Australasia,33.0164,169.2492,0.9062
Bolivian Yungas,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,22.1263,267.4102,0.9038
Trobriand Islands rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Australasia,42.3734,147.7865,0.9031
Caribbean shrublands,,Deserts & Xeric Shrublands,Neotropic,20.3966,266.7381,0.8908
Fiji tropical moist forests,,Tropical & Subtropical Moist Broadleaf Forests,Oceania,20.9622,255.3409,0.8908
