region_name,country_name,biome,realm,d_soc,d_se_red,priority
Central Andean wet puna,,Montane Grasslands & Shrublands,Neotropic,6.0092,300.9567,0.9907
Northeast Himalayan subalpine conifer forests,,Temperate Conifer Forests,Palearctic,4.7781,183.4291,0.9492
Rock and Ice,,,,3.4935,246.745,0.9449
Oaxacan montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,3.9509,190.5959,0.9441
Cordillera Central páramo,,Montane Grasslands & Shrublands,Neotropic,3.4349,201.737,0.9271
Madagascar ericoid thickets,,Montane Grasslands & Shrublands,Afrotropic,3.4123,183.0097,0.9119
Marañón dry forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,4.7238,118.8613,0.9017
Honshu alpine conifer forests,,Temperate Conifer Forests,Palearctic,3.383,159.1593,0.8975
Sierra Madre de Oaxaca pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,3.5457,133.3516,0.8941
Hainan Island monsoon rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,3.2647,131.0438,0.878
Western Himalayan alpine shrub and meadows,,Montane Grasslands & Shrublands,Palearctic,2.8973,170.872,0.8771
Mulanje Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic,3.2738,122.8177,0.8695
Nihonkai montane deciduous forests,,Temperate Broadleaf & Mixed Forests,Palearctic,2.9592,149.8772,0.8669
Southern Rift Montane forest-grassland,,Montane Grasslands & Shrublands,Afrotropic,3.6828,80.7932,0.8568
British Columbia coastal conifer forests,,Temperate Conifer Forests,Nearctic,6.982,60.33,0.8559
Sierra Madre Occidental pine-oak forests,,Tropical & Subtropical Coniferous Forests,Nearctic,3.6023,77.98,0.8517
Chimalapas montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,2.5788,136.0374,0.839
North Cascades conifer forests,,Temperate Conifer Forests,Nearctic,6.0103,49.8756,0.8322
Sierra Madre del Sur pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,2.9738,96.8292,0.8288
Central Andean puna,,Montane Grasslands & Shrublands,Neotropic,3.3457,72.2758,0.8271
