region_name,country_name,biome,realm,d_soc,d_se_red,priority
Llanos,,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,46.7889,114.63,0.9528
Negro-Branco moist forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,20.9672,162.0452,0.9417
Nansei Islands subtropical evergreen forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,27.697,98.4857,0.9139
Honshu alpine conifer forests,,Temperate Conifer Forests,Palearctic,18.7402,121.2902,0.913
Nihonkai montane deciduous forests,,Temperate Broadleaf & Mixed Forests,Palearctic,20.0512,110.5351,0.9102
Northeast Himalayan subalpine conifer forests,,Temperate Conifer Forests,Palearctic,26.2655,89.978,0.9056
Hainan Island monsoon rain forests,,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,18.432,107.5377,0.8944
Rock and Ice,,,,16.7293,116.7358,0.8852
Oaxacan montane forests,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,15.2722,133.0711,0.875
Nihonkai evergreen forests,,Temperate Broadleaf & Mixed Forests,Palearctic,15.8469,113.7947,0.8713
Bolivian Yungas,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,14.2052,165.3512,0.8694
Western Himalayan alpine shrub and meadows,,Montane Grasslands & Shrublands,Palearctic,15.5626,115.1827,0.8667
Eastern Himalayan alpine shrub and meadows,,Montane Grasslands & Shrublands,Palearctic,14.087,161.0712,0.8657
Westland temperate forests,,Temperate Broadleaf & Mixed Forests,Australasia,20.3149,67.4161,0.863
Pantepui forests & shrublands,,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,18.2214,83.3206,0.863
Taiheiyo montane deciduous forests,,Temperate Broadleaf & Mixed Forests,Palearctic,14.071,151.3392,0.8611
Corsican montane broadleaf and mixed forests,,"Mediterranean Forests, Woodlands & Scrub",Palearctic,45.5955,40.2373,0.8556
Southern Korea evergreen forests,,Temperate Broadleaf & Mixed Forests,Palearctic,17.8125,79.0677,0.8556
Sierra de la Laguna pine-oak forests,,Tropical & Subtropical Coniferous Forests,Neotropic,49.3853,36.1075,0.8463
Jalisco dry forests,,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,17.8096,67.8118,0.8426
