ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
1,Albertine Rift montane forests,51.0,77.0,56.1,-26.0,-20.9,N
2,Cameroon Highlands forests,77.3,70.5,85.0,6.8,14.5,Y
3,Central Congolian lowland forests,55.3,44.6,60.8,10.7,16.2,Y
4,Comoros forests,51.2,69.6,56.3,-18.4,-13.3,N
5,Congolian coastal forests,53.8,51.0,59.2,2.8,8.2,Y
6,Cross-Niger transition forests,61.1,44.4,67.2,16.7,22.8,Y
7,Cross-Sanaga-Bioko coastal forests,56.3,51.6,61.9,4.7,10.3,Y
8,East African montane forests,52.5,70.5,57.8,-18.0,-12.8,N
9,Eastern Arc forests,52.8,67.5,58.1,-14.7,-9.4,N
10,Eastern Congolian swamp forests,56.8,41.7,62.5,15.1,20.8,Y
11,Eastern Guinean forests,65.1,40.5,71.6,24.6,31.1,Y
12,Ethiopian montane forests,49.4,75.6,54.3,-26.2,-21.3,N
13,Granitic Seychelles forests,54.0,74.2,59.4,-20.2,-14.8,N
14,Guinean montane forests,63.7,56.8,70.1,6.9,13.3,Y
15,Knysna-Amatole montane forests,50.2,56.8,55.2,-6.6,-1.6,N
16,Kwazulu Natal-Cape coastal forests,54.7,50.2,60.2,4.5,10.0,Y
17,Madagascar humid forests,52.0,67.6,57.2,-15.6,-10.4,N
18,Madagascar subhumid forests,58.2,53.4,64.0,4.8,10.6,Y
19,Maputaland coastal forests and woodlands,58.1,40.2,63.9,17.9,23.7,Y
20,Mascarene forests,52.4,70.6,57.6,-18.2,-13.0,N
21,Mount Cameroon and Bioko montane forests,44.6,89.7,49.1,-45.1,-40.6,N
22,Niger Delta swamp forests,57.3,48.0,63.0,9.3,15.0,Y
23,Nigerian lowland forests,61.2,39.8,67.3,21.4,27.5,Y
24,Northeast Congolian lowland forests,56.2,49.5,61.8,6.7,12.3,Y
25,Northern Swahili coastal forests,62.7,36.5,69.0,26.2,32.5,Y
26,Northwest Congolian lowland forests,55.9,48.9,61.5,7.0,12.6,Y
27,"Sío Tomé, Príncipe, and Annobón forests",53.7,68.0,59.1,-14.3,-8.9,N
28,Southern Swahili coastal forests and woodlands,59.1,36.1,65.0,23.0,28.9,Y
29,Western Congolian swamp forests,58.7,42.0,64.6,16.7,22.6,Y
30,Western Guinean lowland forests,60.9,47.0,67.0,13.9,20.0,Y
31,Cape Verde Islands dry forests,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!
32,Madagascar dry deciduous forests,59.3,43.7,65.2,15.6,21.5,Y
33,Zambezian evergreen dry forests,61.0,34.7,67.1,26.3,32.4,Y
34,Angolan mopane woodlands,63.5,22.6,69.9,40.9,47.3,Y
35,Angolan scarp savanna and woodlands,56.9,39.2,62.6,17.7,23.4,Y
36,Angolan wet miombo woodlands,58.0,29.3,63.8,28.7,34.5,Y
37,Ascension scrub and grasslands,56.8,30.9,62.5,25.9,31.6,Y
38,Central bushveld,67.1,29.5,73.8,37.6,44.3,Y
